SYSMES_CONF_000,サウンドの設定を行います,Modifier les paramètres audio.,设置声音,設定遊戲聲音
SYSMES_MODE_008,バックログを開きます,Ouvrir l'historique.,打开回顾前文,開啟履歷
SYSMES_SAVE_000,セーブしますか？,Enregistrer cette sauvegarde ?,是否存档？,是否要保存？
SYSMES_SAVE_001,ロードしますか？,Charger cette sauvegarde ?,是否读档？,是否要載入？
SYSMES_SAVE_002,上書きしますか？,Remplacer cette sauvegarde ?,是否覆盖？,是否要覆蓋？
SYSMES_SAVE_003,コピーしますか？,Copier cette sauvegarde ?,是否复制？,是否要複製？
SYSMES_SAVE_004,削除しますか？,Supprimer cette sauvegarde ?,是否删除？,是否要刪除？
SYSMES_SAVE_005,セーブ中です,Enregistrement...,正在存档,正在保存
SYSMES_SAVE_006,ロード中です,Chargement...,正在读档,正在載入
SYSMES_SAVE_007,チェック中です,Vérification...,正在检查,正在確認
SYSMES_SAVE_008,セーブデータのチェックに失敗しました。^データが破損している可能性があります,Unable to check save data.^The data may be corrupted.,存档数据检查失败。数据可能已损坏。,保存資料確認失敗。資料可能毀損
SYSMES_SAVE_009,コピー中です,Copie...,正在复制,正在複製
SYSMES_SAVE_010,削除中です,Suppression...,正在删除,正在刪除
SYSMES_SAVE_011,セーブに失敗しました,Impossible de sauvegarder.,存档失败,保存失敗
SYSMES_SAVE_012,ロードに失敗しました,Impossible de charger.,读档失败,載入失敗
SYSMES_SAVE_013,セーブが終了しました,Savegarde terminée !,存档完毕,保存完成
SYSMES_SAVE_014,ロードが終了しました,Chargement terminé !,读档完毕,載入完成
SYSMES_SAVE_015,セーブデータがありません,Aucune sauvegarde trouvé.,无存档数据,找不到保存資料
SYSMES_SAVE_016,セーブをキャンセルしますか？,Annuler la création de cette sauvegarde ?,是否取消存档？,是否要取消保存？
SYSMES_SAVE_017,ロードをキャンセルしますか？,Annuler le chargement de cette sauvegarde ?,是否取消读档？,是否要取消載入？
SYSMES_SAVE_018,セーブを続行しますか？,Voulez-vous reprendre la sauvegarde ?,是否继续存档？,是否要繼續保存？
SYSMES_SAVE_019,ロードを続行しますか？,Voulez-vous reprendre le chargement ?,是否继续读档？,是否要繼續載入？
SYSMES_SAVE_020,システムデータをセーブしますか？,Do you want to save system data?,是否保存系统数据？,是否要保存系統資料？
SYSMES_SAVE_021,システムデータをロードしますか？,Do you want to load system data?,是否读取系统数据？,是否要載入系統資料？
SYSMES_SAVE_022,システムデータを上書きしますか？,Do you want to overwrite system data?,是否覆盖系统数据？,是否要覆蓋系統資料？
SYSMES_SAVE_023,システムデータをセーブ中です,Saving system data...,正在保存系统数据,正在保存系統資料
SYSMES_SAVE_024,システムデータをロード中です,Loading system data...,正在读取系统数据,正在載入系統資料
SYSMES_SAVE_025,システムデータがありません,No system data found.,无系统数据,找不到系統資料
SYSMES_SAVE_026,システムデータのセーブに失敗しました,Unable to save system data.,系统数据保存失败,系統資料保存失敗
SYSMES_SAVE_027,システムデータのロードに失敗しました。^データが破損している可能性があります,Unable to load system data.^The data may be corrupted.,系统数据读取失败。数据可能已损坏。,系統資料載入失敗。資料可能毀損
SYSMES_SAVE_028,システムデータのセーブに成功しました,System data saved.,已成功保存系统数据,系統資料保存成功
SYSMES_SAVE_029,システムデータのロードに成功しました,System data loaded.,已成功读取系统数据,系統資料載入成功
SYSMES_SAVE_030,ファイルが壊れています,Le fichier est corrompu.,文件已损坏,檔案已損壞
SYSMES_SAVE_031,データが破損しているので、上書きします,"Cette donnée est corrompue,^elles va être écrasée.",由于数据已损坏，因此将进行覆盖,資料已損毀，即將覆蓋資料
SYSMES_SAVE_032,空き容量が不足しています,Mémoire insuffisante.,剩余容量不足,可用空間不足
SYSMES_SAVE_033,フォーマットを実行しますか？,Éxécuter le formattage ?,是否执行格式化？,是否要格式化？
SYSMES_SAVE_034,データ無し,Aucune donnée,无数据,沒有資料
SYSMES_SAVE_035,セーブデータを作成します,Créer une sauvegarde.,生成存档数据,製作保存資料
SYSMES_SAVE_036,セーブデータのバージョンが異なります,Save data is a different version.,存档数据版本不同。,保存資料的版本不符
SYSMES_SAVE_037,システムデータのバージョンが異なります,System data is a different version.,系统数据版本不同。,系統資料的版本不符
SYSMES_TITLE_000,ゲームを最初から開始します,Commencer une nouvelle partie.,将从头开始游戏,從頭開始遊玩
SYSMES_TITLE_001,最新のセーブファイルでゲームを再開します,Load game data from the last save.,将用最新的存档文件继续游戏,使用最新的保存檔案繼續進行遊戲
SYSMES_TITLE_002,ロードします,Charger les données.,读档,載入
SYSMES_TITLE_003,環境設定を行います,Configure system settings.,设置环境,設定遊戲環境
SYSMES_TITLE_004,鑑賞モードに入ります,Ouvrir la galerie.,进入欣赏模式,進入鑑賞模式
SYSMES_TITLE_005,ＣＧを鑑賞します,Voir les images.,观赏CG,鑑賞CG
SYSMES_TITLE_006,書庫を鑑賞します,Consulter les archives.,鉴赏档案,鑑賞資料庫
SYSMES_TITLE_007,音楽を鑑賞します,Écouter les musiques.,欣赏音乐,鑑賞音樂
SYSMES_TITLE_008,ボイスを鑑賞します,Écouter les voix.,欣赏语音,鑑賞語音
SYSMES_TITLE_009,タイトルへ戻ります,Revenir au menu titre.,返回标题界面,返回標題畫面
SYSMES_TITLE_010,追加シナリオをプレイします,Play extra scenarios.,观看追加剧情,遊玩追加劇情
SYSMES_COMM_000,キャンセルしますか？,Annuler ?,是否取消？,是否要取消？
SYSMES_COMM_001,タイトルに戻りますか？,Revenir au menu titre ?,是否返回标题界面？,是否要返回標題畫面？
SYSMES_COMM_002,クイックロードしますか？,Do you want to perform^a quick load?,是否快速读档？,是否要快速載入？
SYSMES_COMM_003,クイックジャンプしますか？,Do you want to perform a quick jump?,是否快速跳过？,是否要快速跳轉？
SYSMES_COMM_004,次のシーン、選択肢まで進みますか？,Se rendre au prochain choix ?,是否前进至下一个场景、选项？,是否要跳至下一個場景的選項？
SYSMES_COMM_005,前のシーン、選択肢まで戻りますか？,Revenir au choix précédent ?,是否返回至上一个场景、选项？,是否要返回上一個場景的選項？
SYSMES_COMM_006,書庫の選択画面に戻りますか？,Revenir sur l'écran de sélection^des archives ?,是否返回档案选择屏幕？,是否要返回資料庫選擇畫面？
SYSMES_COMM_007,セーブをせずに終了してもよろしいですか？,Are you sure you want to quit^without saving?,不进行存档直接关闭游戏，确定吗？,是否要不保存就結束遊戲？
SYSMES_COMM_008,ボイスを消去しますか？,Do you want to clear voices?,是否消除语音？,是否要刪除語音？
SYSMES_COMM_009,栞を挟みますか？,Faire une sauvegarde rapide ?,添加书签吗？,要夾上書籤嗎？
SYSMES_COMM_010,終了しますか？,Quitter le jeu ?,确定要结束游戏吗？,確定要結束遊戲嗎？
SYSMES_ERROR_999,エラーが発生しました,Une erreur s'est produite.,出现错误,發生錯誤
SYSMES_ARCHIVE_000,猫と過ち。星と死,Cats and Mistakes. Stars and Death.,猫与过错。星与死亡,貓與錯誤，星星與死亡
SYSMES_ARCHIVE_001,冬の朝,Un matin d'hiver,冬日之晨,冬日的早晨
SYSMES_ARCHIVE_002,彼女の一日１,Un jour dans sa vie I,她的一天1,她的一天1
SYSMES_ARCHIVE_003,彼女の一日２,Un jour dans sa vie II,她的一天2,她的一天2
SYSMES_ARCHIVE_004,洋館の少女,Les filles dans le manoir,洋房的少女,洋房的少女
SYSMES_ARCHIVE_005,回る七日間・１,Sept jours rythmés 1,旋转的七天・1,忙碌的七天‧1
SYSMES_ARCHIVE_006,回る七日間・２,Sept jours rythmés 2,旋转的七天・2,忙碌的七天‧2
SYSMES_ARCHIVE_007,回る七日間・３,Sept jours rythmés 3,旋转的七天・3,忙碌的七天‧3
SYSMES_ARCHIVE_008,回る七日間・４,Sept jours rythmés 4,旋转的七天・4,忙碌的七天‧4
SYSMES_ARCHIVE_009,僕らの昼ご飯,Déjeuner de notre choix,我们的午饭,我們的午餐
SYSMES_ARCHIVE_010,それが何か？,Et alors ?,那是什么？,那是什麼？
SYSMES_ARCHIVE_011,都会の流儀,Style urbain,都市的做法,都市的做事方式
SYSMES_ARCHIVE_012,夜の出来事,The Incident in the Night,夜晚的事,發生在夜晚的事
SYSMES_ARCHIVE_013,夜の少女たち,Les filles de nuit,夜之少女们,夜色中的少女們
SYSMES_ARCHIVE_014,らしくないとか言われても,So What If It's Uncharacteristic?,即使这不像我的风格,即使不合作風
SYSMES_ARCHIVE_015,密やかな覚悟,Détermination secrète,暗下决心,暗自下定決心
SYSMES_ARCHIVE_016,夜は招く,Appels nocturnes,夜晚的邀请,夜之邀約
SYSMES_ARCHIVE_017,魔法使いの夜１,La nuit des sorcières 1,魔法使之夜1,魔法使之夜1
SYSMES_ARCHIVE_018,魔法使いの夜２,La nuit des sorcières 2,魔法使之夜2,魔法使之夜2
SYSMES_ARCHIVE_019,魔法使いの夜３,La nuit des sorcières 3,魔法使之夜3,魔法使之夜3
SYSMES_ARCHIVE_020,魔法使いの夜４,La nuit des sorcières 4,魔法使之夜4,魔法使之夜4
SYSMES_ARCHIVE_021,魔法使いの夜５,La nuit des sorcières 5,魔法使之夜5,魔法使之夜5
SYSMES_ARCHIVE_022,魔法使いの夜６,La nuit des sorcières 6,魔法使之夜6,魔法使之夜6
SYSMES_ARCHIVE_023,魔法使いの夜７,La nuit des sorcières 7,魔法使之夜7,魔法使之夜7
SYSMES_ARCHIVE_024,魔法使いの夜８,La nuit des sorcières 8,魔法使之夜8,魔法使之夜8
SYSMES_ARCHIVE_025,魔法使いの夜９,La nuit des sorcières 9,魔法使之夜9,魔法使之夜9
SYSMES_ARCHIVE_026,魔法使いの夜１０,La nuit des sorcières 10,魔法使之夜10,魔法使之夜10
SYSMES_ARCHIVE_027,魔法使いの夜１１,La nuit des sorcières 11,魔法使之夜11,魔法使之夜11
SYSMES_ARCHIVE_028,魔法使いの夜１２,La nuit des sorcières 12,魔法使之夜12,魔法使之夜12
SYSMES_ARCHIVE_029,魔法使いの夜１３,La nuit des sorcières 13,魔法使之夜13,魔法使之夜13
SYSMES_ARCHIVE_030,魔法使いの夜１４,La nuit des sorcières 14,魔法使之夜14,魔法使之夜14
SYSMES_ARCHIVE_031,懐郷白夢,Nostalgie rêveuse,怀乡白梦,懷鄉白夢
SYSMES_ARCHIVE_032,逢瀬の前,Instant avant le rendez-vous,见面之前,幽會之前
SYSMES_ARCHIVE_033,青子さん、唐突です,"Tu m'as surpris, Aoko !",青子同学，太唐突了,青子小姐，太突然了
SYSMES_ARCHIVE_034,硝子の小瓶,Une petite fiole de verre,玻璃小瓶,玻璃小瓶子
SYSMES_ARCHIVE_035,洋館での暮らし方,La vie dans le manoir,洋房里的生活方式,在洋房的生活
SYSMES_ARCHIVE_036,あるいは、鳥に似た,Une sorte d'oiseau,或许，与鸟相似,與鳥相似
SYSMES_ARCHIVE_037,鳥は遠くに,Un oiseau au loin,鸟儿远去,振翅高飛
SYSMES_ARCHIVE_038,目算が甘すぎる,Tu es bien trop optimiste !,计划太天真了,想得太簡單了
SYSMES_ARCHIVE_039,童話の庭,Un jardin de conte de fées,童话庭院,童話庭院
SYSMES_ARCHIVE_040,マーサ,Martha,玛莎,瑪莎
SYSMES_ARCHIVE_041,冬休みの裏山掃除,Le grand ménage de la colline,寒假的后山扫除,寒假的後山清掃
SYSMES_ARCHIVE_042,魔術師と野生児,La sorcière et l'étranger,魔术师与野孩子,魔術師與野孩子
SYSMES_ARCHIVE_043,プレゼントは首輪ですか？,Le cadeau est un... collier ?,礼物是项圈？,禮物是項圈嗎？
SYSMES_ARCHIVE_044,穏やかな午前,Un doux matin,恬静的上午,平靜的上午
SYSMES_ARCHIVE_045,ホワイトボード,Tableau blanc,白板,白板
SYSMES_ARCHIVE_046,カーネーギ事件,L'affaire Carnegie,为人作嫁事件,蔥鴨事件
SYSMES_ARCHIVE_047,インスタント対出前,Dîner devant la télé VS Livraison à domicile,速食VS外卖,即食食品對上外送餐點
SYSMES_ARCHIVE_048,プレゼントのお返しです,Un cadeau de remboursement,这是回礼,回禮
SYSMES_ARCHIVE_049,アクアリウム,Aquarium,水族馆,水族館
SYSMES_ARCHIVE_050,姉、帰る,Le retour de la sœur aînée,姐姐，归来,姊姊回來了
SYSMES_ARCHIVE_051,蒼崎家の事情,Les problèmes de la famille Aozaki,苍崎家的情况,蒼崎家的隱情
SYSMES_ARCHIVE_052,なぜなにプロイ１,Tout sur les Ploy ! 1,PLOY十万个为什么1,使魔小知識1
SYSMES_ARCHIVE_053,なぜなにプロイ２,Tout sur les Ploy ! 2,PLOY十万个为什么2,使魔小知識2
SYSMES_ARCHIVE_054,なぜなにプロイ３,Tout sur les Ploy ! 3,PLOY十万个为什么3,使魔小知識3
SYSMES_ARCHIVE_055,なぜなにプロイ４,Tout sur les Ploy ! 4,PLOY十万个为什么4,使魔小知識4
SYSMES_ARCHIVE_056,なぜなにプロイ５,Tout sur les Ploy ! 5,PLOY十万个为什么5,使魔小知識5
SYSMES_ARCHIVE_057,なぜなにプロイ６,Tout sur les Ploy ! 6,PLOY十万个为什么6,使魔小知識6
SYSMES_ARCHIVE_058,冬の一日・掃除編,Un jour d'hiver : Ménage,冬季的一天・扫除篇,冬日的一天‧打掃篇
SYSMES_ARCHIVE_059,夜のはじまり,Le début de la nuit,夜的开始,夜晚的開端
SYSMES_ARCHIVE_060,久遠の魔女,La sorcière de l'éternité,久远的魔女,久遠的魔女
SYSMES_ARCHIVE_061,さよなら赤ずきん,"Adieu, petit chaperon rouge",再见小红帽,再見了，小紅帽
SYSMES_ARCHIVE_062,雪の降る里の跡,Neige sur le village désert,落雪故里的点滴,降雪村中的痕跡
SYSMES_ARCHIVE_063,教会へ,Vers l'église,前往教会,前往教會
SYSMES_ARCHIVE_064,狼の話,Histoire de loup,狼的故事,狼所說的話
SYSMES_ARCHIVE_065,憧憬と焦燥,Adoration et impatience,憧憬与焦躁,憧憬與焦躁
SYSMES_ARCHIVE_066,―――夜へ,―――Vers la nuit,―――向着夜晚,──踏入夜色
SYSMES_ARCHIVE_067,青色の魔法,Blue Magic,蓝色魔法,藍色魔法
SYSMES_ARCHIVE_068,そして、青色の魔法,"And Then, Blue Magic",接着，蓝色魔法,於是，使用藍色魔法
SYSMES_ARCHIVE_069,帰り道,The Road Home,归途,歸途
SYSMES_ARCHIVE_070,はちみつを巡る冒険,Une aventure mielleuse,围绕蜂蜜的冒险,蜂蜜大冒險
SYSMES_ARCHIVE_071,誰も寝たりしてはいいけど笑ってはならぬ,"Anyone Can Sleep, But Not Laugh",谁都可以睡，但是不能笑,眾人得以安眠但不能笑
SYSMES_ARCHIVE_072,ある日の出来事,An Incident One Day,某一天的事,發生在那天的事
SYSMES_ARCHIVE_071_00,始まり～久遠寺邸へ,Le commencement - Au manoir Kuonji,开始～去久远寺邸,開端～前往久遠寺宅邸
SYSMES_ARCHIVE_071_01,洋館到着～ロビーにて,From Arrival at the Mansion to Inside the Foyer,抵达洋房～在前厅,到達洋房～在大廳裡
SYSMES_ARCHIVE_071_02,居間へ,To the Drawing Room,去起居室,前往客廳
SYSMES_ARCHIVE_071_03,久万梨の客室へ,Vers la chambre de Kumari,去久万梨的客房,前往久萬梨的客房
SYSMES_ARCHIVE_071_04,森のクマさん,L'ours de la forêt,森林的熊先生,森林裡的熊
SYSMES_ARCHIVE_071_05,東館の青子,Aoko dans l'aile est,东馆的青子,東館的青子
SYSMES_ARCHIVE_071_06,洋館に戻りましょう。,Retournons au manoir,回洋房吧。,回洋房吧
SYSMES_ARCHIVE_071_07,森に行きましょう。,Allons dans les bois,去森林吧。,去森林吧
SYSMES_ARCHIVE_071_08,人物紹介～客室へ,From Introductions to the Guest Room,人物介绍～去客房,人物介紹～前往客房
SYSMES_ARCHIVE_071_09,久万梨の客室（１）,Kojika's Room (1),久万梨的客房（1）,前往久萬梨的客房（1）
SYSMES_ARCHIVE_071_10,久万梨の客室（２）,Kojika's Room (2),久万梨的客房（2）,前往久萬梨的客房（2）
SYSMES_ARCHIVE_071_11,遠い爆笑,Un éclat de rire lointain,远处的爆笑,遠方的大笑
SYSMES_ARCHIVE_071_12,教会組、到着。,Arrival at the Church,教会组，到达。,教會組到來
SYSMES_ARCHIVE_071_13,1,1,1,1
SYSMES_ARCHIVE_071_14,2,2,2,2
SYSMES_ARCHIVE_071_15,フライング・マーダー,Flying Murder,飞行・谋杀,飛天謀殺
SYSMES_ARCHIVE_071_16,６時前,Avant 6 heures,6小时前,６點前
SYSMES_ARCHIVE_071_17,リデル登場～トッキィー死亡,Apparition de Riddell - Mort de Tokki,莉黛尔登场～土桔死亡,莉黛爾登場～阿土死亡
SYSMES_ARCHIVE_071_18,1,1,1,1
SYSMES_ARCHIVE_071_19,2,2,2,2
SYSMES_ARCHIVE_071_20,3,3,3,3
SYSMES_ARCHIVE_071_21,午後７時,19:00,晚上7点,晚上7點
SYSMES_ARCHIVE_071_22,1,1,1,1
SYSMES_ARCHIVE_071_23,2,2,2,2
SYSMES_ARCHIVE_071_24,3,3,3,3
SYSMES_ARCHIVE_071_25,笑ってはいけない久遠寺邸,"Le manoir Kuonji où l'on peut dormir, mais où le rire est interdit",不能笑的久远寺邸,不能笑的久遠寺宅邸
SYSMES_ARCHIVE_071_26,1,1,1,1
SYSMES_ARCHIVE_071_27,2,2,2,2
SYSMES_ARCHIVE_071_28,3,3,3,3
SYSMES_ARCHIVE_071_29,葬列,Convoi funèbre,送葬队列,送葬
SYSMES_ARCHIVE_071_30,アリバイ検証１,Vérification des alibis 1,核查不在场证明1,驗證不在場證明1
SYSMES_ARCHIVE_071_31,アリバイ検証２,Vérification des alibis 2,核查不在场证明2,驗證不在場證明2
SYSMES_ARCHIVE_071_32,アリバイ検証３,Vérification des alibis 3,核查不在场证明3,驗證不在場證明3
SYSMES_ARCHIVE_071_33,２２時～最後の容疑者,22 heures - Le dernier suspect,22点～最后的嫌疑人,22點～最後的嫌犯
SYSMES_ARCHIVE_071_34,BADEND,BAD END,BADEND,BADEND
SYSMES_ARCHIVE_071_35,スーパーブラックホークダウン,La chute du Super Faucon noir,超级黑鹰坠落,超級黑鷹計畫
SYSMES_ARCHIVE_071_36,1,1,1,1
SYSMES_ARCHIVE_071_37,２３時,23:00,23点,23點
SYSMES_ARCHIVE_071_38,ミッドナイトマーダー,Meurtre à minuit,午夜谋杀,午夜謀殺
SYSMES_ARCHIVE_071_39,ここで寝るなんてとんでもない！,Je pourrai jamais dormir ici !,怎么能在这里睡觉！,怎麼可以在這裡睡著！
SYSMES_ARCHIVE_071_40,十三人目のゲスト,Le 13e invité,第十三位来宾,第十三個客人
SYSMES_ARCHIVE_071_41,ストームマーダー,Meurtre dans la tempête,暴风雨谋杀,暴風謀殺
SYSMES_ARCHIVE_071_42,暗闇のホール,Le vestibule plongé dans les ténèbres,漆黑的大厅,黑暗的大廳
SYSMES_ARCHIVE_071_43,1,1,1,1
SYSMES_ARCHIVE_071_44,2,2,2,2
SYSMES_ARCHIVE_071_45,真犯人青子？,Aoko coupable ?,真凶青子？,青子是真兇？
SYSMES_ARCHIVE_071_46,眠りの前に,Avant de dormir,在睡前,睡覺前
SYSMES_ARCHIVE_071_47,モーニングマーダー,Meurtre matinal,早晨的谋杀,清晨謀殺
SYSMES_ARCHIVE_071_48,推理その１,Raisonnement 1,推理1,推理1
SYSMES_ARCHIVE_071_49,1,1,1,1
SYSMES_ARCHIVE_071_50,2,2,2,2
SYSMES_ARCHIVE_071_51,3,3,3,3
SYSMES_ARCHIVE_071_52,4,4,4,4
SYSMES_ARCHIVE_071_53,5,5,5,5
SYSMES_ARCHIVE_071_54,午前３時、最後の行動,"3 heures du matin, dernière action",凌晨3点，最后的行动,凌晨3點，最後的行動
SYSMES_ARCHIVE_071_55,就寝,Le sommeil,就寝,就寢
SYSMES_ARCHIVE_071_56,おしまいの朝,Le matin de la fin,绝望的早晨,尾聲的早晨
SYSMES_ARCHIVE_071_57,エスケープマーダー,Meurtre en escapade,逃脱谋杀,逃脫謀殺
SYSMES_ARCHIVE_071_58,推理その２,Raisonnement 2,推理2,推理2
SYSMES_ARCHIVE_071_59,推理その３,Raisonnement 3,推理3,推理3
SYSMES_ARCHIVE_071_60,推理点不足,Manque d'éléments,推理点不足,推理點不足
SYSMES_ARCHIVE_071_61,ワレワレハ宇宙人ダ,Nous sommes des aliens,我们是宇宙人,俺是外星人
SYSMES_ARCHIVE_071_62,推理その４,Raisonnement 4,推理4,推理4
SYSMES_ARCHIVE_071_63,推理その５,Raisonnement 5,推理5,推理5
SYSMES_ARCHIVE_071_64,最終告発,La dernière accusation,最终揭发,最終告發
SYSMES_ARCHIVE_071_65,スイーツハーツ,Sweets Hearts,Sweets Hearts,甜蜜之心
SYSMES_ARCHIVE_071_66,空は高く,Sky High,天空高远,晴朗的天空
SYSMES_TEATIME_2,TeaTime 第2章,Tea Time 2,TeaTime 2,TeaTime 2
SYSMES_TEATIME_3,TeaTime 第3章,Tea Time 3,TeaTime 3,TeaTime 3
SYSMES_TEATIME_4,TeaTime 第4章,Tea Time 4,TeaTime 4,TeaTime 4
SYSMES_TEATIME_5A,TeaTime 第5章前半,Tea Time 5-A,TeaTime 5-A,TeaTime 5-A
SYSMES_TEATIME_5B,TeaTime 第5章後半,Tea Time 5-B,TeaTime 5-B,TeaTime 5-B
SYSMES_TEATIME_6,TeaTime 第6章,Tea Time 6,TeaTime 6,TeaTime 6
SYSMES_TEATIME_7,TeaTime 第7章,Tea Time 7,TeaTime 7,TeaTime 7
SYSMES_TEATIME_8,TeaTime 第8章,Tea Time 8,TeaTime 8,TeaTime 8
SYSMES_TEATIME_9,TeaTime 第9章,Tea Time 9,TeaTime 9,TeaTime 9
SYSMES_TEATIME_10,TeaTime 第10章,Tea Time 10,TeaTime 10,TeaTime 10
SYSMES_TEATIME_11,TeaTime 第11章,Tea Time 11,TeaTime 11,TeaTime 11
SYSMES_TEATIME_12,TeaTime 第12章,Tea Time 12,TeaTime 12,TeaTime 12
SYSMES_TEATIME_13,TeaTime 第13章,Tea Time 13,TeaTime 13,TeaTime 13
SYSMES_PLAYGO_000,ダウンロード/コピーが完了するまで^お待ちください,Patientez jusqu'à la fin du téléchargement^ou de la copie.,请等待^下载/复制完成。,下載/複製尚未完成^請稍待片刻
SYSMES_PLAYGO_001,ダウンロード/コピーが完了していません。^タイトルに戻ります。^進行状態はオートセーブされます,Téléchargement/copie incomplète.^Retour au menu titre.^(Progression sauvegardée.),下载/复制未完成。^即将返回标题界面。^游戏进程将会自动保存。,下載/複製尚未完成。^將返回標題畫面。^目前進度會自動保存
SYSMES_PLAYGO_002,ダウンロード/コピーが完了しました,Téléchargement/copie terminée.,下载/复制已完成。,已完成下載/複製